,x,y,color
68,-5.843218,4.4347205,6
69,13.793522,-2.4451625,4
70,-3.6222663,2.787048,1
71,1.148104,-2.400621,5
72,-1.3774658,3.212766,2
73,-1.4595585,3.4107594,2
74,1.5052288,-2.1173887,5
75,14.716932,1.0806079,7
76,14.992183,0.8603045,7
77,-1.3520705,3.4659293,2
78,-1.3131075,3.305724,2
79,14.605764,1.1361645,7
80,1.4468386,-2.1534784,5
81,14.730036,0.94178385,7
82,-2.2597954,2.3719392,2
83,15.444739,0.7724039,7
84,16.274574,0.7578614,7
85,-2.6543894,3.2146447,2
86,-2.512546,2.94697,2
87,-1.4171336,3.6734345,2
88,-2.1806998,2.061238,2
89,14.90943,1.01121,7
90,-2.241133,2.290487,2
91,15.536943,1.7196807,3
92,16.646776,1.78117,3
93,14.964048,0.6725482,7
94,15.090439,0.59120125,7
95,16.382792,1.9781744,3
96,16.213425,0.6032144,7
97,14.755034,0.65681624,7
98,14.728028,0.68546844,7
99,15.967356,1.931826,3
100,15.400695,2.7430267,3
101,1.1501846,-1.1989555,5
102,16.212093,0.7470681,7
103,-1.1029855,1.7043866,2
104,16.337578,1.0764537,7
105,16.42765,1.9331272,3
106,15.879744,2.7608228,3
107,16.61975,1.9818513,3
108,14.856854,0.9902609,7
109,15.817883,2.6546466,3
110,16.18505,1.5363874,7
111,-5.919657,4.3849616,6
112,0.979836,-2.745619,5
113,16.367321,1.7402935,3
114,1.1300341,-2.3001583,5
115,15.60861,2.0454948,3
116,16.026154,1.1752338,7
117,15.843577,2.4057882,3
118,-2.3843627,1.0883112,2
119,16.167337,2.2438803,3
120,16.176691,2.4958253,3
121,15.229896,1.7496132,7
122,15.7790985,1.3943589,7
123,-0.8180135,-0.038202852,0
124,-2.4860463,1.1994829,2
125,1.2359743,-1.2294129,5
126,1.2125182,-1.599493,5
127,15.965866,2.8738213,3
128,15.870382,1.984548,3
129,1.4415951,-2.3225813,5
130,15.7282505,1.3416883,7
131,-0.98881286,-0.21269557,2
132,16.208654,1.1887581,7
133,16.129122,0.68901336,7
134,1.1617432,-1.4905276,5
135,1.5184014,-2.072965,5
136,0.9539711,-0.9418148,5
137,15.907551,2.847052,3
138,15.8136015,1.8683164,3
139,15.745991,1.3277209,7
140,14.810673,0.9873115,7
141,0.99368966,-1.0121074,5
142,1.3594141,-2.2890332,5
143,-1.4007394,1.5778636,2
144,-3.4163435,2.4615555,1
145,15.749164,2.7399168,3
146,0.35516778,0.01799925,0
147,-5.227945,3.1655152,1
148,-5.5579777,4.422476,6
149,-3.6512265,3.9138575,1
150,-4.6754155,4.391238,6
151,-1.4158667,1.4804301,2
152,-4.955788,2.6375563,1
153,-2.2059958,1.8656806,2
154,15.846661,2.0595593,3
155,-3.594657,2.2349088,1
156,-3.5387669,2.4819605,1
157,-2.4442987,1.1399008,2
158,-4.082481,2.7652614,1
159,-1.7901361,1.7994736,2
160,-1.5495386,3.4823363,2
161,-2.2793245,1.1685127,2
162,-3.9698484,4.380073,6
163,-2.006284,1.1267563,2
164,13.819466,-2.4088328,4
165,-5.38628,4.5047336,6
166,-4.6201997,3.497215,1
